date,group,location,number
25/12/2021,Armed Groups Killed,Unknown,1
31/12/2021,Ukrainian Military Killed,Avdiivka,1
10/1/2022,Ukrainian Military Killed,Yasynuvata,1
10/1/2022,Ukrainian Military Killed,Yasynuvata,1
11/1/2022,Ukrainian Military Killed,Hirske,1
14/1/2022,Armed Groups Killed,Kadiivka,1
21/1/2022,Armed Groups Killed,Horlivka,1
26/1/2022,Armed Groups Killed,Unknown,1
27/1/2022,Armed Groups Killed,Debaltseve,1
28/1/2022,Armed Groups Killed,Unknown,1
1/2/2022,Armed Groups Killed,Unknown,1
6/2/2022,Armed Groups Killed,Ocheretyne,1
13/2/2022,Ukrainian Military Killed,Ocheretyne,1
15/2/2022,Armed Groups Killed,Kadiivka,1
19/2/2022,Ukrainian Military Killed,Ocheretyne,1
19/2/2022,Ukrainian Military Killed,Svitlodarsk,1
19/2/2022,Armed Groups Killed,Unknown,1
20/2/2022,Armed Groups Killed,Sartana,1
20/2/2022,Civilian Killed,Donetsk,1
21/2/2022,Ukrainian Military Killed,Svitlodarsk,1
21/2/2022,Ukrainian Military Killed,Svitlodarsk,1
21/2/2022,Ukrainian Military Killed,Unknown,1
21/2/2022,Civilian Killed,Svitlodarsk,1
22/2/2022,Armed Groups Killed,Kadiivka,1
22/2/2022,Ukrainian Military Killed,Olhynka,1
24/2/2022,Armed Groups Killed,Kadiivka,1
25/2/2022,Civilian Killed,Horlivka,1
25/2/2022,Civilian Killed,Horlivka,1
25/2/2022,Civilian Killed,Starobilsk,1
25/2/2022,Civilian Killed,Mariupol,1
26/2/2022,Civilian Killed,Volnovakha,15
26/2/2022,Civilian Killed,Mariupol,4
28/2/2022,Civilian Killed,Mariinka,1
28/2/2022,Civilian Killed,Sievierodonetsk,1
28/2/2022,Civilian Killed,Donetsk,1
24/2/2022,Civilian Killed,Mariupol,1
25/2/2022,Ukrainian Military Killed,Lysychansk,1
27/2/2022,Armed Groups Killed,Hirske,1
24/2/2022,Civilian Killed,Horlivka,1
28/2/2022,Civilian Killed,Sartana,2
28/2/2022,Civilian Killed,Mariupol,1
